Annotator,Paper,Cited-by,Follow-up,Citing Sentence,Tagged Sentence
A,C00-1072,P02-1058,2,This is similar to the idea of topic signature introduced in (Lin and Hovy 2000).,This is similar to the idea of topic signature introduced in TREF.
A,C00-1072,P05-1026,0,"The notion of topic signatures was first introduced in (Lin and Hovy, 2000).",The notion of topic signatures was first introduced in TREF.
A,C00-1072,P06-1015,0,"To date, researchers have harvested, with varying success, several resources, including concept lists (Lin and Pantel 2002), topic signatures (Lin and Hovy 2000), facts (Etzioni et al. 2005), and word similarity lists (Hindle 1990).","To date, researchers have harvested, with varying success, several resources, including concept lists REF, topic signatures TREF, facts REF, and word similarity lists REF."
A,C00-1072,P06-4007,0,"Under this approach, topic representations like those introduced in (Lin and Hovy, 2000) and (Harabagiu, 2004) are used to identify a set of text passages that are relevant to a user’s domain of interest.","Under this approach, topic representations like those introduced in TREF and REF are used to identify a set of text passages that are relevant to a user’s domain of interest."
A,C00-1072,P07-1070,0,"The scores are usually computed based on a combination of statistical and linguistic features, including term frequency, sentence position, cue words, stigma words, topic signature (Hovy and Lin, 1997; Lin and Hovy, 2000), etc.","The scores are usually computed based on a combination of statistical and linguistic features, including term frequency, sentence position, cue words, stigma words, topic signature (GTREF), etc."
A,C00-1072,P08-1090,0,"In summarization, topic signatures are a set of terms indicative of a topic (Lin and Hovy, 2000).","In summarization, topic signatures are a set of terms indicative of a topic TREF."
A,C00-1072,P08-1092,0,"A similar approach is explored in Biryukov et al. (2005), which uses Topic Signatures (Lin and Hovy, 2000) constructed around the target individual’s name to identify sentences to be included in the biography.","A similar approach is explored in REF, which uses Topic Signatures TREF constructed around the target individual’s name to identify sentences to be included in the biography."
A,C00-1072,P09-1023,0,"In addition, infobox could be considered as topic signature (Lin and Hovy, 2000) or keywords about the topic.","In addition, infobox could be considered as topic signature TREF or keywords about the topic."
A,C00-1072,P09-2030,0,"Among them, query relevance, centroid (Radev et al., 2004) and signature term (Lin and Hovy, 2000) are most remarkable.","Among them, query relevance, centroid REF and signature term TREF are most remarkable."
A,C00-1072,P10-1094,0,"For single document summarization, the sentence score is usually computed by empirical combination of a number of statistical and linguistic feature values, such as term frequency, sentence position, cue words, stigma words, topic signature (Luhn 1969; Lin and Hovy, 2000).","For single document summarization, the sentence score is usually computed by empirical combination of a number of statistical and linguistic feature values, such as term frequency, sentence position, cue words, stigma words, topic signature (GTREF)."
A,C00-1072,P11-1155,0,"In the task of single document summarization, various features have been investigated for ranking sentences in a document, including term frequency, sentence position, cue words, stigma words, and topic signature (Luhn 1969; Lin and Hovy, 2000).","In the task of single document summarization, various features have been investigated for ranking sentences in a document, including term frequency, sentence position, cue words, stigma words, and topic signature (GTREF)."
A,C02-1025,C10-2104,0,"In such cases, neither global features (Chieu and Ng, 2002) nor aggregated contexts (Chieu and Ng, 2003) can help.","In such cases, neither global features TREF nor aggregated contexts REF can help."
A,C02-1025,P03-1028,3,"More recently, machine learning approaches have been used for IE from semi-structured texts (Califf and Mooney, 1999; Soderland, 1999; Roth and Yih, 2001; Ciravegna, 2001; Chieu and Ng, 2002a), named entity extraction (Chieu and Ng, 2002b), template element extraction, and template relation extraction (Miller et al., 1998).","More recently, machine learning approaches have been used for IE from semi-structured texts (GREF), named entity extraction TREF, template element extraction, and template relation extraction REF."
A,C02-1025,P05-1045,0,"Chieu and Ng (2002) propose a solution to this problem: for each token, they define additional features taken from other occurrences of the same token in the document.","TREF propose a solution to this problem: for each token, they define additional features taken from other occurrences of the same token in the document."
A,C02-1025,P05-1051,0,"(Borthwick, 1999) made a second tagging pass which uses information on token sequences tagged in the first pass; (Chieu and Ng, 2002) used as features information about features assigned to other instances of the same token.",REF made a second tagging pass which uses information on token sequences tagged in the first pass; TREF used as features information about features assigned to other instances of the same token.
A,C02-1025,P06-1089,0,"Global information is known to be useful in other NLP tasks, especially in the named entity recognition task, and several studies successfully used global features (Chieu and Ng, 2002; Finkel et al., 2005). Chieu and Ng (2002) conducted named entity recognition using global features as well as local features.","Global information is known to be useful in other NLP tasks, especially in the named entity recognition task, and several studies successfully used global features (GTREF). TREF conducted named entity recognition using global features as well as local features."
A,C02-1025,P06-1141,1,"Most work has looked to model non-local dependencies only within a document (Finkel 1125 et al., 2005; Chieu and Ng, 2002; Sutton and McCallum, 2004; Bunescu and Mooney, 2004). Chieu and Ng (2002) propose a solution to this problem: for each token, they define additional features based on known information, taken from other occurrences of the same token in the document.","Most work has looked to model non-local dependencies only within a document ( GTREF). TREF propose a solution to this problem: for each token, they define additional features based on known information, taken from other occurrences of the same token in the document."
A,H05-1079,C08-1028,0,Impressive results have been achieved culminating in the state-of-the-art parser of Clark and Curran (2004) which has been used as the parser for the Pascal Rich Textual Entailment Challenge entry of Bos and Markert (2005).,Impressive results have been achieved culminating in the state-of-the-art parser of REF which has been used as the parser for the Pascal Rich Textual Entailment Challenge entry of TREF.
A,H05-1079,C08-2001,0,"Metaphor in RTE Challenges Even though annotators aimed to filter out metaphorical uses of language from the RTE datasets (Zaenen et al., 2005), some metaphorical texts have eluded the annotators’ selection policies (Bos and Markert, 2006). Although the sample of metaphor pairs is fairly small, table 1 shows that there is a trend for the accuracy to be significantly lower when metaphor is involved than for the overall results (which agrees with Bos and Markert’s (2006) diagnostic).","Metaphor in RTE Challenges Even though annotators aimed to filter out metaphorical uses of language from the RTE datasets REF, some metaphorical texts have eluded the annotators’ selection policies TREF. Although the sample of metaphor pairs is fairly small, table 1 shows that there is a trend for the accuracy to be significantly lower when metaphor is involved than for the overall results (which agrees with TREF diagnostic)."
A,H05-1079,D10-1074,0,"Different approaches have been developed, for example, based on logic proving (Tatu and Moldovan, 2005; Bos and Markert, 2005; Raina et al., 2005) and graph match (Haghighi et al., 2005; de Salvo Braz et al., 2005; MacCartney et al., 2006).","Different approaches have been developed, for example, based on logic proving (GTREF) and graph match REF."
A,H05-1079,J07-3004,0,"Furthermore, Bos et al. (2004) and Bos (2005) have demonstrated that the output of CCGbank parsers can be successfully translated into Kamp and Reyle’s (1993) Discourse Representation Theory structures, to support question answering and the textual entailment task (Bos and Markert 2005).","Furthermore, REF and REF have demonstrated that the output of CCGbank parsers can be successfully translated into REF Discourse Representation Theory structures, to support question answering and the textual entailment task TREF."
A,H05-1079,N06-1005,2,"The RTE problem as presented in the PASCAL RTE dataset is particularly attractive in that it is a reasonably simple task for human annotators with high inter-annotator agreement (95.1% in one independent labeling (Bos and Markert, 2005)), but an extremely challenging task for automated systems. For example, two high-accuracy systems are those described in (Tatu and Moldovan, 2005), achieving 60.4% accuracy with no task-specific information, and (Bos and Markert, 2005), which achieves 61.2% task-dependent accuracy, i.e. when able to use the specific task labels as input. Many previous approaches have used a logical form representation of the text and hypothesis sentences, focusing on deriving a proof by which one can infer the hypothesis logical form from the text logical form (Bayer et al., 2005; Bos and Markert, 2005; Raina et al., 2005; Tatu and Moldovan, 2005). Attempts have been made to remedy this deficit through various techniques, including modelbuilding (Bos and Markert, 2005) and the addition of semantic axioms (Tatu and Moldovan, 2005).","The RTE problem as presented in the PASCAL RTE dataset is particularly attractive in that it is a reasonably simple task for human annotators with high inter-annotator agreement (95.1% in one independent labeling TREF), but an extremely challenging task for automated systems. For example, two high-accuracy systems are those described in REF, achieving 60.4% accuracy with no task-specific information, and TREF, which achieves 61.2% task-dependent accuracy, i.e. when able to use the specific task labels as input. Many previous approaches have used a logical form representation of the text and hypothesis sentences, focusing on deriving a proof by which one can infer the hypothesis logical form from the text logical form (GTREF). Attempts have been made to remedy this deficit through various techniques, including modelbuilding TREF and the addition of semantic axioms REF."
A,H05-1079,N06-1006,1,"Finally, a few efforts (Akhmatova, 2005; Fowler et al., 2005; Bos and Markert, 2005) have tried to translate sentences into formulas of first-order logic, in order to test logical entailment with a theorem prover. We show comparable results from recent systems based on lexical similarity (Jijkoun and de Rijke, 2005), graph alignment (Haghighi et al., 2005), weighted abduction (Raina et al., 2005), and a mixed system including theorem proving (Bos and Markert, 2005).","Finally, a few efforts (GTREF) have tried to translate sentences into formulas of first-order logic, in order to test logical entailment with a theorem prover. We show comparable results from recent systems based on lexical similarity REF, graph alignment REF, weighted abduction REF, and a mixed system including theorem proving TREF."
A,H05-1079,N10-1146,0,"Early deep semantic models (e.g., (Norvig, 1987)) as well as more recent ones (e.g., (Tatu and Moldovan, 2005; Bos and Markert, 2005; Roth and Sammons, 2007)) rely on specific world knowledge encoded in rules for drawing decisions.","Early deep semantic models (e.g., REF) as well as more recent ones (e.g., (GTREF)) rely on specific world knowledge encoded in rules for drawing decisions."
A,H05-1079,P06-1051,0,"These transformations are logical rules in (Bos and Markert, 2005) or sequences of allowed rewrite rules in (de Salvo Braz et al., 2005).",These transformations are logical rules in TREF or sequences of allowed rewrite rules in REF.
A,H05-1079,P06-2105,0,"(Bos and Markert, 2005) represents and into a first-order logic translation of the DRS language used in Discourse Representation Theory (Kamp and Reyle, 1993) and uses a theorem prover and a model builder with some generic, lexical and geographical background knowledge to prove the entailment between the two texts.","TREF represents and into a first-order logic translation of the DRS language used in Discourse Representation Theory REF and uses a theorem prover and a model builder with some generic, lexical and geographical background knowledge to prove the entailment between the two texts."
A,H05-1079,P11-1059,0,"Some NLP applications deal indirectly with negation, e.g., machine translation (van Munster, 1988), text classification (Rose et al., 2003) and recognizing entailments (Bos and Markert, 2005).","Some NLP applications deal indirectly with negation, e.g., machine translation REF, text classification REF and recognizing entailments TREF."
A,H05-1079,P12-3013,0,"NutCracker3 (Bos and Markert, 2005) is a system based on logical representation and automatic theorem proving, but utilizes only WordNet (Fellbaum, 1998) as a lexical knowledge resource.","NutCracker3 TREF is a system based on logical representation and automatic theorem proving, but utilizes only WordNet REF as a lexical knowledge resource."
A,H05-1079,Q13-1015,0,"Conversely, computational models of formal semantics have shown low recall on practical applications, stemming from their reliance on ontologies such as WordNet (Miller, 1995) to model the meanings of content words (Bobrow et al., 2007; Bos and Markert, 2005)","Conversely, computational models of formal semantics have shown low recall on practical applications, stemming from their reliance on ontologies such as WordNet REF to model the meanings of content words (GTREF)"
A,H05-1079,S12-1082,0,"Related methods incorporate measurements of similarity at various levels: lexical (Malakasiotis and Androutsopoulos, 2007), syntactic (Malakasiotis, 2009; Zanzotto et al., 2009), and semantic (Rinaldi et al., 2003; Bos and Markert, 2005)","Related methods incorporate measurements of similarity at various levels: lexical REF, syntactic REF, and semantic (GTREF)"
A,H05-1079,S12-1108,0,"Logic-based approach is to map the language expressions to logical meaning representations, and then rely on logical entailment checks, possibly by invoking theorem provers (Rinaldi et al., 2003; Bos & Markert, 2005; Tatu & Moldovan, 2005, 2007).","Logic-based approach is to map the language expressions to logical meaning representations, and then rely on logical entailment checks, possibly by invoking theorem provers ( GTREF)."
A,H05-1079,S13-1002,3,"Of existing RTE approaches, the closest to ours is by Bos and Markert (2005), who employ a purely logical approach that uses Boxer to convert both the premise and hypothesis into first-order logic and then checks for entailment using a theorem prover. This approach can be viewed as a bridge between Bos and Markert (2005)’s purely logical approach, which relies purely on hard logical rules and theorem proving, and distributional approaches, which support graded similarity between concepts but have no notion of logical operators or entailment. Task 1: Recognizing Textual Entailment 4.1 Dataset In order to compare directly to the logic-based system of Bos and Markert (2005), we focus on the RTE-1 dataset (Dagan et al., 2005), which includes 567 Text-Hypothesis (T-H) pairs in the development set and 800 pairs in the test set. For the RTE task, systems were evaluated using both accuracy and confidence-weighted score (cws) as used by Bos and Markert (2005) and the RTE- 1 challenge (Dagan et al., 2005). In particular, they perform worse than strict entailment from Bos and Markert (2005), a system that uses only logic.","Of existing RTE approaches, the closest to ours is by TREF, who employ a purely logical approach that uses Boxer to convert both the premise and hypothesis into first-order logic and then checks for entailment using a theorem prover. This approach can be viewed as a bridge between TREF’s purely logical approach, which relies purely on hard logical rules and theorem proving, and distributional approaches, which support graded similarity between concepts but have no notion of logical operators or entailment. Task 1: Recognizing Textual Entailment 4.1 Dataset In order to compare directly to the logic-based system of TREF, we focus on the RTE-1 dataset REF, which includes 567 Text-Hypothesis (T-H) pairs in the development set and 800 pairs in the test set. For the RTE task, systems were evaluated using both accuracy and confidence-weighted score (cws) as used by TREF and the RTE- 1 challenge REF. In particular, they perform worse than strict entailment from TREF, a system that uses only logic."
A,H05-1079,S13-1014,0,"Moving to sentences increases the complexity exponentially and as a result has led to measurements of similarity at various levels: lexical (Malakasiotis and Androutsopoulos, 2007), syntactic (Malakasiotis, 2009; Zanzotto et al., 2009), and semantic (Rinaldi et al., 2003; Bos and Markert, 2005).","Moving to sentences increases the complexity exponentially and as a result has led to measurements of similarity at various levels: lexical REF, syntactic REF, and semantic ( GTREF)."
A,H05-1079,W06-1621,0,"Interestingly, a number of works (e.g. (Bos and Markert, 2005; Corley and Mihalcea, 2005; Jijkoun and de Rijke, 2005; Glickman et al., 2006)) applied or utilized lexical based word overlap measures.","Interestingly, a number of works (e.g. (GTREF)) applied or utilized lexical based word overlap measures."
A,H05-1079,W08-2004,0,"Several models, ranging from the simple lexical similarity between T and H to advanced Logic Form Representations, have been proposed (Corley and Mihalcea, 2005; Glickman and Dagan, 2004; de Salvo Braz et al., 2005; Bos and Markert, 2005).","Several models, ranging from the simple lexical similarity between T and H to advanced Logic Form Representations, have been proposed (GREF)."
A,H05-1079,W11-0112,0,"They, therefore, tend to have high precision at the cost of low recall (Bos and Markert, 2005). Bos and Markert (2005) describe a system for Recognizing Textual Entailment (RTE) that uses Boxer to convert both the premise and hypothesis of an RTE pair into first-order logical semantic representations and then uses a theorem prover to check for logical entailment. Note that when running an example in the theorem prover, weights are not possible, so any rule that would be weighted in an MLN is simply treated as a “hard clause” following Bos and Markert (2005).","They, therefore, tend to have high precision at the cost of low recall TREF. TREF describe a system for Recognizing Textual Entailment (RTE) that uses Boxer to convert both the premise and hypothesis of an RTE pair into first-order logical semantic representations and then uses a theorem prover to check for logical entailment. Note that when running an example in the theorem prover, weights are not possible, so any rule that would be weighted in an MLN is simply treated as a “hard clause” following TREF."
A,I05-2038,C10-1076,1,"For preprocessing, all the sentences in the Bioscope corpus are tokenized and then parsed using the Berkeley parser2 (Petrov and Klein, 2007) trained on the GENIA TreeBank (GTB) 1.0 (Tateisi et al., 2005)3 , which is a bracketed corpus in (almost) PTB style.","For preprocessing, all the sentences in the Bioscope corpus are tokenized and then parsed using the Berkeley parser2 REF trained on the GENIA TreeBank (GTB) 1.0 TREF3 , which is a bracketed corpus in (almost) PTB style."
A,I05-2038,C10-1088,1,"The BioNLP’09 shared task involved documents contained also in the GENIA treebank (Tateisi et al., 2005), creating an opportunity for direct study of intrinsic and task-oriented evaluation results. GENIA treebank processing For comparison and evaluation, the texts in the GENIA treebank (Tateisi et al., 2005) are converted to the various formats as follows.","The BioNLP’09 shared task involved documents contained also in the GENIA treebank TREF, creating an opportunity for direct study of intrinsic and task-oriented evaluation results. GENIA treebank processing For comparison and evaluation, the texts in the GENIA treebank TREF are converted to the various formats as follows."
A,I05-2038,D09-1157,1,"We used the Stanford parser (Klein and Manning, 2003), and also a variant of the Stanford parser (i.e., Stanford-Genia), which was trained on the GENIA treebank (Tateisi et al., 2005) for biomedical text;","We used the Stanford parser REF, and also a variant of the Stanford parser (i.e., Stanford-Genia), which was trained on the GENIA treebank TREF for biomedical text;"
A,I05-2038,N10-1004,1,"Our biomedical data comes from the GENIA treebank8 (Tateisi et al., 2005), a corpus of abstracts from the Medline database.9","Our biomedical data comes from the GENIA treebank8 TREF, a corpus of abstracts from the Medline database.9"
A,I05-2038,P06-1128,1,"Because our target is biomedical texts, we re-trained a parser (Hara et al., 2005) with the GENIA treebank (Tateisi et al., 2005), and also applied a bidirectional part-ofspeech tagger (Tsuruoka and Tsujii, 2005) trained with the GENIA treebank as a preprocessor.","Because our target is biomedical texts, we re-trained a parser REF with the GENIA treebank TREF, and also applied a bidirectional part-ofspeech tagger REF trained with the GENIA treebank as a preprocessor."
A,I05-2038,P06-4005,2,"The GENIA treebank (Tateisi et al., 2005) consists of 500 abstracts (4,446 sentences) extracted from MEDLINE. Automatically Annotated Corpus First, we applied a POS analyzer and then Enju. The POS analyzer and HPSG parser are trained by using the GENIA corpus (Tsuruoka et al., 2005; Hara et al., 2005), which comprises around 2,000 MEDLINE abstracts annotated with POS and Penn Treebank style syntactic parse trees (Tateisi et al., 2005).","The GENIA treebank TREF consists of 500 abstracts (4,446 sentences) extracted from MEDLINE. Automatically Annotated Corpus First, we applied a POS analyzer and then Enju. The POS analyzer and HPSG parser are trained by using the GENIA corpus (GREF), which comprises around 2,000 MEDLINE abstracts annotated with POS and Penn Treebank style syntactic parse trees TREF."
A,J02-3001,C04-1018,0,Automatic identification of sources has also been addressed indirectly by Gildea and Jurafsky’s (2002) work on semantic role identification in that finding sources often corresponds to finding the filler of the agent role for verbs.,Automatic identification of sources has also been addressed indirectly by TREF work on semantic role identification in that finding sources often corresponds to finding the filler of the agent role for verbs.
A,J02-3001,D08-1094,0,"Attention has mostly been limited to selectional preferences of verbs, which have been used for example for syntactic disambiguation (Hindle and Rooth, 1993), word sense disambiguation (McCarthy and Carroll, 2003) and semantic role labeling (Gildea and Jurafsky, 2002).","Attention has mostly been limited to selectional preferences of verbs, which have been used for example for syntactic disambiguation REF, word sense disambiguation REF and semantic role labeling TREF."
A,J02-3001,E03-1040,0,"Because verbs play a central role in the syntactic and semantic interpretation of a sentence, much research has focused on automatically learning properties of verbs from text corpora, such as their subcategorization (Brent, 1993; Briscoe and Carroll, 1997), argument roles (Riloff and Schmelzenbach, 1998; Gildea and Jurafsky, 2002), selectional preferences (Resnik, 1996), and lexical semantic classification (Dorr and Jones, 1996; Lapata and Brew, 1999; Schulte im Walde, 2000; Merlo and Stevenson, 2001).","Because verbs play a central role in the syntactic and semantic interpretation of a sentence, much research has focused on automatically learning properties of verbs from text corpora, such as their subcategorization REF, argument roles ( GTREF), selectional preferences REF, and lexical semantic classification REF."
A,J02-3001,P04-1043,1,"Several machine learning approaches for argument identification and classification have been developed (Gildea and Jurasfky, 2002; Gildea and Palmer, 2002; Surdeanu et al., 2003; Hacioglu et al., 2003). These standard features, firstly proposed in (Gildea and Jurasfky, 2002), refer to a flat information derived from parse trees, i.e. Phrase Type, Predicate Word, Head Word, Governing Category, Position and Voice. This latter choice allows us to compare the results with previous literature works, e.g. (Gildea and Jurasfky, 2002; Surdeanu et al., 2003; Hacioglu et al., 2003).","Several machine learning approaches for argument identification and classification have been developed (GTREF). These standard features, firstly proposed in TREF, refer to a flat information derived from parse trees, i.e. Phrase Type, Predicate Word, Head Word, Governing Category, Position and Voice. This latter choice allows us to compare the results with previous literature works, e.g. (GTREF)."
A,J02-3001,P07-1071,2,"Many current solutions are complicated, consist of several stages and handbuilt features, and are too slow to be applied as part of real applications that require such semantic labels, partly because of their use of a syntactic parser (Pradhan et al., 2004; Gildea and Jurafsky, 2002). In (Gildea and Jurafsky, 2002) the authors presented a statistical approach to learning (for FrameNet), with some success. Argument Classification Accuracy So far we have not used the same accuracy measures as in previous work (Gildea and Jurafsky, 2002; Pradhan et al., 2004). For example, simply adding whether each word is part of a noun or verb phrase using the handannotated parse tree (the so-called “GOV” feature from (Gildea and Jurafsky, 2002)) improves the performance of our system from 83.95% to 85.8%.","Many current solutions are complicated, consist of several stages and handbuilt features, and are too slow to be applied as part of real applications that require such semantic labels, partly because of their use of a syntactic parser ( GTREF). In TREF the authors presented a statistical approach to learning (for FrameNet), with some success. Argument Classification Accuracy So far we have not used the same accuracy measures as in previous work (GTREF). For example, simply adding whether each word is part of a noun or verb phrase using the handannotated parse tree (the so-called “GOV” feature from TREF) improves the performance of our system from 83.95% to 85.8%."
A,J96-1002,A00-1019,0,"Techniques for weakening the independence assumptions made by the IBM models 1 and 2 have been proposed in recent work (Brown et al., 1993; Berger et al., 1996; Och and Weber, 98; Wang and Waibel, 98; Wu and Wong, 98).",Techniques for weakening the independence assumptions made by the IBM models 1 and 2 have been proposed in recent work (GTREF).
A,J96-1002,A00-2026,2,"The only trainable approaches (known to the author) to surface generation are the purely statistical machine translation (MT) systems such as (Berger et al., 1996) and the corpus-based generation system described in (Langkilde and Knight, 1998). The MT systems of (Berger et al., 1996) learn to generate text in the target language straight from the source language, without the aid of an explicit semantic representation. The form of the maximum entropy probability model is identical to the one used in (Berger et al., 1996; Ratnaparkhi, 1998): where wi ranges over V t3 .stop. and {wi-l,wi-2,attri} is the history, where wi denotes the ith word in the phrase, and attri denotes the attributes that remain to be generated at position i in the phrase. e features used in NLG2 are described in the next section, and the feature weights aj, obtained from the Improved Iterative Scaling algorithm (Berger et al., 1996), are set to maximize the likelihood of the training data. Our approach differs from the corpus-based surface generation approaches of (Langkilde and Knight, 1998) and (Berger et al., 1996). (Berger et ai., 1996) describes a statistical machine translation approach that generates text in the target language directly from the source text.","The only trainable approaches (known to the author) to surface generation are the purely statistical machine translation (MT) systems such as TREF and the corpus-based generation system described in REF. The MT systems of TREF learn to generate text in the target language straight from the source language, without the aid of an explicit semantic representation. The form of the maximum entropy probability model is identical to the one used in (GTREF): where wi ranges over V t3 .stop. and {wi-l,wi-2,attri} is the history, where wi denotes the ith word in the phrase, and attri denotes the attributes that remain to be generated at position i in the phrase. e features used in NLG2 are described in the next section, and the feature weights aj, obtained from the Improved Iterative Scaling algorithm TREF, are set to maximize the likelihood of the training data. Our approach differs from the corpus-based surface generation approaches of REF and TREF. TREF describes a statistical machine translation approach that generates text in the target language directly from the source text."
A,J96-1002,A00-2031,0,"This is concordant with the usage in the maximum entropy literature (Berger et al., 1996).",This is concordant with the usage in the maximum entropy literature TREF.
